"@stdlib/math/base/ops/cdiv","@stdlib/complex/float64/base/add,@stdlib/complex/float64/base/mul,@stdlib/math/base/ops/csub"
"@stdlib/math/base/special/ceil","@stdlib/math/base/special/ceiln,@stdlib/math/base/special/floor,@stdlib/math/base/special/round"
"@stdlib/math/base/special/ceil2","@stdlib/math/base/special/ceil,@stdlib/math/base/special/ceil10,@stdlib/math/base/special/floor2,@stdlib/math/base/special/round2"
"@stdlib/math/base/special/ceil10","@stdlib/math/base/special/ceil,@stdlib/math/base/special/ceil2,@stdlib/math/base/special/floor10,@stdlib/math/base/special/round10"
"@stdlib/math/base/special/ceilb","@stdlib/math/base/special/ceil,@stdlib/math/base/special/ceiln,@stdlib/math/base/special/floorb,@stdlib/math/base/special/roundb"
"@stdlib/math/base/special/ceilf","@stdlib/math/base/special/floorf"
"@stdlib/math/base/special/ceiln","@stdlib/math/base/special/ceil,@stdlib/math/base/special/ceilb,@stdlib/math/base/special/floorn,@stdlib/math/base/special/roundn"
"@stdlib/math/base/special/ceilsd","@stdlib/math/base/special/ceil,@stdlib/math/base/special/floorsd,@stdlib/math/base/special/roundsd,@stdlib/math/base/special/truncsd"
"@stdlib/math/base/special/cexp",""
"@stdlib/math/base/special/cflipsign","@stdlib/math/base/ops/cneg,@stdlib/math/base/special/csignum"
"@stdlib/math/base/special/cflipsignf","@stdlib/math/base/ops/cnegf,@stdlib/math/base/special/cflipsign"
"@stdlib/math/base/special/cfloor","@stdlib/math/base/special/cceil,@stdlib/math/base/special/cfloorn,@stdlib/math/base/special/cround"
"@stdlib/math/base/special/cfloorn","@stdlib/math/base/special/cceiln,@stdlib/math/base/special/cfloor,@stdlib/math/base/special/croundn"
"@stdlib/math/base/special/cidentity","@stdlib/math/base/special/cidentityf,@stdlib/math/base/special/identity"
"@stdlib/math/base/special/cidentityf","@stdlib/math/base/special/cidentity,@stdlib/math/base/special/identityf"
"@stdlib/math/base/special/cinv","@stdlib/math/base/ops/cdiv"
"@stdlib/math/base/special/clamp","@stdlib/math/base/special/clampf,@stdlib/math/base/special/wrap"
"@stdlib/math/base/special/clampf","@stdlib/math/base/special/clamp"
"@stdlib/complex/float64/base/mul","@stdlib/complex/float64/base/add,@stdlib/math/base/ops/cdiv,@stdlib/math/base/ops/csub"
"@stdlib/complex/float32/base/mul","@stdlib/complex/float32/base/add,@stdlib/complex/float64/base/mul,@stdlib/math/base/ops/csubf"
"@stdlib/math/base/ops/cneg","@stdlib/math/base/special/cabs"
"@stdlib/math/base/ops/cnegf","@stdlib/math/base/ops/cneg,@stdlib/math/base/special/cabsf"
"@stdlib/string/base/code-point-at",""
