"10","invalid operation. Cannot reset a REPL which has already closed.","Error"
"11","invalid operation. Cannot clear a REPL which has already closed.","Error"
"12","invalid operation. Cannot clear the line of a REPL which has already closed.","Error"
"13","invalid operation. Cannot clear the command buffer of a REPL which has already closed.","Error"
"14","invalid argument. Provided command either does not contain an `await` expression or contains a top-level `return` which is not allowed.","Error"
"15","invalid argument. Must provide a program AST node.","TypeError"
"16","invalid invocation. Insufficient arguments. Must provide a REPL instance.","Error"
"17","invalid operation. No presentation to reload. Use the `load()` method to load a presentation.","Error"
"18","invalid operation. No presentation file to watch. Use the `load()` method to load a presentation.","Error"
"19","unexpected error. Encountered a ""rename"" event for the source presentation file. No longer watching source presentation file for changes.","Error"
"20","invalid argument. Must provide a username or, to get a list of repositories an authenticated user is watching, an access token.","Error"
"21","unexpected error. Unable to resolve package directory as unable to find a `package.json` in a parent directory.","Error"
"22","invalid argument. Source code does not contain JSDoc comment with function options.","Error"
"23","unexpected error. Unable to resolve root project directory.","Error"
"24","invalid argument. An iterator must return either a two-element array containing real and imaginary components or a complex number. Value: `%s`.","TypeError"
"25","invalid argument. Callback must return either a two-element array containing real and imaginary components or a complex number. Value: `%s`.","TypeError"
"26","invalid argument. Array-like object arguments must have a length which is a multiple of two. Length: `%u`.","RangeError"
"27","invalid argument. Array-like object and typed array arguments must have a length which is a multiple of two. Length: `%u`.","RangeError"
"28","invalid argument. ArrayBuffer byte length must be a multiple of `%u`. Byte length: `%u`.","RangeError"
"29","invalid argument. Environment lacks Symbol.iterator support. Must provide a length, ArrayBuffer, typed array, or array-like object. Value: `%s`.","TypeError"
"30","invalid argument. Fourth argument must be a nonnegative integer. Value: `%s`.","TypeError"
"31","invalid argument. Fifth argument must be a function. Value: `%s`.","TypeError"
"32","invalid argument. Fourth argument must be a function. Value: `%s`.","TypeError"
"33","invalid argument. Second argument must be either an integer (starting index) or a callback function. Value: `%s`.","TypeError"
"34","invalid argument. Third argument must be either an integer (ending index) or a callback function. Value: `%s`.","TypeError"
"35","invalid argument. Second argument must be either an integer (starting view index) or a callback function. Value: `%s`.","TypeError"
"36","invalid argument. Third argument must be either an integer (ending view index) or a callback function. Value: `%s`.","TypeError"
"37","invalid argument. Second argument must be a recognized data type. Value: `%s`.","TypeError"
"38","invalid argument. First argument must be array-like. Value: `%s`.","TypeError"
"39","invalid argument. Second argument must be a string. Value: `%s`.","TypeError"
"40","invalid argument. Must provide either a Date object, a JavaScript timestamp (i.e., a nonnegative integer), or a date string. Value: `%s`.","TypeError"
"41","invalid option. Unrecognized rounding mode. Option: `%s`.","TypeError"
"42","invalid argument. Third argument must be either a nonnegative integer or an options object. Value: `%s`.","TypeError"
"43","invalid argument. Fourth argument must be an object. Value: `%s`.","TypeError"
"44","invalid argument. First argument must an iterator protocol-compliant object. Value: `%s`.","TypeError"
"45","invalid argument. Second argument must be a positive integer. Value: `%s`.","TypeError"
"46","invalid argument. First argument must be an iterator protocol-compliant object. Value: `%s`.","TypeError"
"47","invalid argument. Must provide an object. Value: `%s`.","TypeError"
"48","invalid argument. Object property values must be functions. Key: `%s`. Value: `%s`.","TypeError"
"49","invalid argument. First argument must be a number. Value: `%s`.","TypeError"
"50","invalid option. Second `%s` parameter option must be a positive integer. Option: `%s`.","TypeError"
"51","invalid argument. First argument must be an array. Value: `%s`.","TypeError"
"52","invalid argument. First argument must be an array of length `%u`. Value: `%s`.","TypeError"
"53","invalid argument. First argument must be an array of length %u. Value: `%s`.","TypeError"
"54","unexpected error. Scaling weight vector by nonpositive value, likely due to too large value of eta * lambda. Value: `%f`.","RangeError"
"55","invalid argument. Second argument must be a boolean. Value: `%s`.","TypeError"
"56","invalid argument. Must provide either a valid data source, options argument, or both. Value: `%s`.","TypeError"
"57","invalid option. `%s` option must be an array-like object, typed-array-like, a Buffer, or an ndarray. Option: `%s`.","TypeError"
"58","invalid option. Data source must be an array-like object, typed-array-like, a Buffer, or an ndarray. Value: `%s`.","TypeError"
"59","invalid option. `%s` option must be a recognized casting mode. Option: `%s`.","TypeError"
"60","invalid argument. Input string must have a length equal to %u. Value: `%s`.","Error"
"61","invalid assignment. `%s` must be a boolean. Value: `%s`.","TypeError"
"62","invalid assignment. `%s` must be a string. Value: `%s`.","TypeError"
"63","invalid assignment. `%s` must be one of the following: ""%s"". Value: `%s`.","TypeError"
"64","invalid assignment. `%s` must be a positive number. Value: `%s`.","TypeError"
"65","invalid assignment. `%s` must be either an array of strings or an empty array. Value: `%s`.","TypeError"
"66","invalid assignment. `%s` must be a number or number array. Value: `%s`.","TypeError"
"67","invalid assignment. A `%s` must be a number on the interval: [0, 1]. Value: `%f`.","RangeError"
"68","invalid assignment. `%s` must be a string or a string array. Value: `%s`","TypeError"
"69","invalid assignment. Unsupported/unrecognized line style. Must be one of the following: ""%s"". Value: `%s`.","Error"
"70","invalid argument. Must provide a Uint32Array. Value: `%s`.","TypeError"
"71","invalid argument. First argument must be a positive number. Value: `%s`.","TypeError"
"72","invalid argument. Second argument must be a positive number. Value: `%s`.","TypeError"
"73","invalid argument. Second argument must be a probability. Value: `%s`.","TypeError"
"74","invalid option. `%s` option must be either a positive integer less than or equal to the maximum unsigned 32-bit integer or an array-like object containing integer values less than or equal to the maximum unsigned 32-bit integer. Option: `%s`.","TypeError"
"75","invalid option. `%s` option must have a `MIN` property specifying the minimum possible pseudorandom integer value.","TypeError"
"76","invalid option. `%s` option must have a `MAX` property specifying the maximum possible pseudorandom integer value.","TypeError"
"77","invalid argument. First argument must be an integer and not NaN. Value: `%s`.","TypeError"
"78","invalid argument. Second argument must be an integer and not NaN. Value: `%s`.","TypeError"
"79","invalid argument. Minimum support must be less than or equal to maximum support. Value: `[%d,%d]`.","RangeError"
"80","invalid argument. First argument must be either a string containing presentation text or an options object specifying a presentation file to load. Value: `%s`.","TypeError"
"81","invalid argument. Second argument must be an options object. Value: `%s`.","TypeError"
"82","invalid argument. Invalid presentation identifier. Must be either a string or nonnegative integer. Value: `%s`.","TypeError"
"83","invalid argument. Workspace name already exists. Value: `%s`.","Error"
"84","invalid argument. Must provide a string, regular expression, nonnegative integer, or an array of nonnegative integers. Value: `%s`.","TypeError"
"85","invalid argument. Unrecognized tutorial name. Value: `%s`.","Error"
"86","invalid argument. Documentation argument must be a string. Value: `%s`.","TypeError"
"87","invalid option. `%s` option must be a regular expression. Option: `%s`.","TypeError"
"88","internal error. Unrecognized pattern type: `%s`.","Error"
"89","invalid option. `%s` option must be a readable stream. Option: `%s`.","TypeError"
"90","invalid argument. Denominator degrees of freedom must be a positive number. Value: `%s`.","TypeError"
"91","invalid argument. Scale parameter must be a number. Value: `%s`.","TypeError"
"92","invalid argument. Mean parameter `%s` must be a probability. Value: `%s`.","TypeError"
"93","invalid argument. Population size must be a nonnegative integer. Value: `%s`.","TypeError"
"94","invalid argument. Subpopulation size must be a nonnegative integer. Value: `%s`.","TypeError"
"95","invalid argument. Number of draws must be a nonnegative integer. Value: `%s`.","TypeError"
"96","invalid assignment. Must be a nonnegative integer. Value: `%s`.","TypeError"
"97","invalid assignment. Must be larger than or equal to %u. Value: `%u`.","RangeError"
"98","invalid assignment. Must be less than or equal to %u. Value: `%u`.","RangeError"
"99","invalid argument. Number of trials until experiment is stopped must be a positive number. Value: `%s`.","TypeError"
"00","not implemented","Error"
"01","invalid invocation. `this` context must be a constructor.","TypeError"
"02","invalid invocation. `this` is not a complex number array.","TypeError"
"03","invalid arguments. Target array lacks sufficient storage to accommodate source values.","RangeError"
"04","invalid arguments. Creating a generic array from an ArrayBuffer is not supported.","Error"
"05","invalid arguments. Must provide a length, typed array, array-like object, or an iterable.","TypeError"
"06","invalid arguments. Generated array exceeds maximum array length.","RangeError"
"07","invalid arguments. If either of the first two arguments are complex numbers, the output array must be a complex number array or a ""generic"" array-like object.","TypeError"
"08","invalid arguments. If either of the first two arguments are complex numbers, the output array data type must be a complex number data type or ""generic"".","TypeError"
"09","not supported. The current environment does not support SharedArrayBuffers, and, unfortunately, SharedArrayBuffers cannot be polyfilled. For shared memory applications, upgrade your runtime environment to one which supports SharedArrayBuffers.","Error"
"0A","insufficient arguments. Must provide a search value.","Error"
"0B","invalid argument. Attempted to add duplicate listener.","Error"
"0C","exception","Error"
"0D","unexpected error. Benchmark failed.","Error"
"0E","unexpected error. Invalid benchmark.","Error"
"0F","unexpected error.","Error"
"0G","invalid invocation. Constructor must be called with the `new` keyword.","TypeError"
