simple-statistics-3.0.0,stdlib
min,math/base/special/min
max,math/base/special/max
sum,(planned)
sumSimple,(planned)
quantile,(planned)
product,(planned)
minSorted,(planned)
maxSorted,(planned)
quantileSorted,(planned)
mean,(planned)
addToMean,N/A
mode,(planned)
modeSorted,(planned)
modeFast,N/A
median,(planned)
medianSorted,(planned)
harmonicMean,(planned)
geometricMean,(planned)
rootMeanSquare,(planned)
sampleSkewness,(planned)
variance,(planned)
sampleVariance,(planned)
standardDeviation,(planned)
sampleStandardDeviation,(planned)
medianAbsoluteDeviation,(planned)
interquartileRange,(planned)
sumNthPowerDeviations,N/A
zScore,(planned)
sampleCorrelation,(planned)
sampleCovariance,(planned)
rSquared,(planned)
linearRegression,(planned)
linearRegressionLine,(planned)
shuffle,random/shuffle
shuffleInPlace,random/shuffle
sampleWithReplacement,random/sample
sample,random/sample
BayesianClassifer,(planned)
PerceptronModel,(planned)
bernoulliDistribution,math/base/dists/bernoulli
binomial,math/base/dists/binomial
poisson,math/base/dists/poisson
chiSquaredDistributionTable,math/base/dists/chisquare
standardNormalTable,math/base/dists/normal
tTest,math/stats/ttest
tTestTwoSample,math/stats/ttest2
cumulativeStdNormalProbability,N/A
errorFunction,math/base/special/erf
inverseErrorFunction,math/base/special/erfinv
probit,(planned)
ckmeans,(planned)
equalIntervalBreaks,N/A
chunk,(planned)
mixin,(planned)
chiSquaredGoodnessOfFit,math/stats/chi2gof
epsilon,math/constants/float64-epsilon
factorial,math/base/special/factorial
uniqueCountSorted,N/A
permutationsHeap,N/A
combinations,(planned)
combinationsReplacement,(planned)
combineMeans,N/A
combineVariances,N/A
subtractFromMean,(planned)
bisect,(planned)
